phage name,count,Bacteroide name
Riemerella phage RAP44,10,Bacteroides caccae ATCC 43185  whole genome
,,Bacteroides vulgatus PC510  whole genome shotgun
,,Bacteroides sp. 3_1_40A .1 whole genome shotgun sequence.
,,Bacteroides sp. 20_3 .1 whole genome shotgun sequence.
,,Bacteroides sp. D20 .1 whole genome shotgun sequence.
,,Bacteroides sp. 3_1_33FAA .1 whole genome shotgun sequence.
,,Bacteroides sp. D2 .1 whole genome shotgun sequence.
,,Bacteroides sp. 4_3_47FAA .1 whole genome shotgun sequence.
,,Bacteroides fragilis 3_1_12 .1 whole genome shotgun sequence.
,,Bacteroides plebeius DSM 17135  whole
Lactococcus phage phiLC3,1,Bacteroides caccae ATCC 43185  whole genome
Haemophilus phage SuMu,2,Bacteroides caccae ATCC 43185  whole genome
,,Bacteroides sp. 3_1_40A .1 whole genome shotgun sequence.
Lactococcus phage bIL312,1,Bacteroides stercoris ATCC 43183  whole
Clostridium phage phiCD27,2,Bacteroides stercoris ATCC 43183  whole
,,Bacteroides sp. D22 .1 whole genome shotgun sequence.
Prochlorococcus phage P-HM1,1,Bacteroides coprocola DSM 17136 .1 whole
Bacillus phage PBC1,1,Bacteroides pectinophilus ATCC 43243
Staphylococcus phage 2638A,1,Bacteroides pectinophilus ATCC 43243
Bacillus phage Fah,1,Bacteroides pectinophilus ATCC 43243
Prophage Escherichia coli O157:H7 str. Sakai,1,Bacteroides pectinophilus ATCC 43243
Clostridium phage phi3626,2,Bacteroides pectinophilus ATCC 43243
,,Bacteroides sp. D2 .1 whole genome shotgun sequence.
Streptococcus phage PH10,1,Bacteroides sp. 2_2_4 .1 whole genome shotgun sequence.
Klebsiella phage phiKO2,1,Bacteroides cellulosilyticus DSM 14838
Lactobacillus phage LP65,1,Bacteroides sp. 4_3_47FAA .1 whole genome shotgun sequence.
